,subject_id,irq-catch-1,irq-manipulation-1,irq-manipulation-2,irq-manipulation-3,irq-manipulation-4,irq-manipulation-5,irq-manipulation-6,irq-manipulation-7,irq-manipulation-8,irq-ortho-1,irq-ortho-2,irq-ortho-3,irq-ortho-4,irq-ortho-5,irq-ortho-6,irq-ortho-7,irq-verbal-1,irq-verbal-10,irq-verbal-11,irq-verbal-12,irq-verbal-2,irq-verbal-3,irq-verbal-4,irq-verbal-5,irq-verbal-6,irq-verbal-7,irq-verbal-8,irq-verbal-9,irq-visual-1,irq-visual-10,irq-visual-2,irq-visual-3,irq-visual-4,irq-visual-5,irq-visual-6,irq-visual-7,irq-visual-8,irq-visual-9,osivq-catch-1,osivq-catch-2,osviq-object-1,osviq-object-10,osviq-object-11,osviq-object-12,osviq-object-13,osviq-object-14,osviq-object-15,osviq-object-2,osviq-object-3,osviq-object-4,osviq-object-5,osviq-object-6,osviq-object-7,osviq-object-8,osviq-object-9,osviq-spatial-1,osviq-spatial-10,osviq-spatial-11,osviq-spatial-12,osviq-spatial-13,osviq-spatial-14,osviq-spatial-15,osviq-spatial-2,osviq-spatial-3,osviq-spatial-4,osviq-spatial-5,osviq-spatial-6,osviq-spatial-7,osviq-spatial-8,osviq-spatial-9,osviq-verbal-1,osviq-verbal-10,osviq-verbal-11,osviq-verbal-12,osviq-verbal-13,osviq-verbal-14,osviq-verbal-15,osviq-verbal-2,osviq-verbal-3,osviq-verbal-4,osviq-verbal-5,osviq-verbal-6,osviq-verbal-7,osviq-verbal-8,osviq-verbal-9,vviq-1,vviq-10,vviq-11,vviq-12,vviq-13,vviq-14,vviq-15,vviq-16,vviq-2,vviq-3,vviq-4,vviq-5,vviq-6,vviq-7,vviq-8,vviq-9,time_elapsed,attention_accuracy_questionnaires,vviq_sum,vviq_z,osivq_verbal_mean,osivq_visual_mean,osivq_spatial_mean,irq_verbal_mean,irq_visual_mean,failed_check_count,z_osivq_verbal_mean,z_osivq_visual_mean,z_osivq_spatial_mean,z_irq_verbal_mean,z_irq_visual_mean
0,85174,1,3,3,3,1,3,3,3,2,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,5,1,3,3,3,3,3,2,3,3,3,1,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,5,3,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,271031,1,46,-0.661861353732987,3.1333333333333333,2.6666666666666665,2.933333333333333,2.75,2.9,0,0.2788188598844142,-0.9021153759476719,0.32589288001574857,-1.334530640782936,-0.8055009951980395
5,116851,1,5,1,1,5,5,3,2,5,3,1,1,2,1,3,4,5,1,1,5,1,1,1,4,3,2,1,1,4,1,5,5,3,5,5,5,5,4,5,1,5,5,5,5,4,5,1,5,3,5,5,5,5,5,5,5,5,5,5,2,5,5,1,3,5,2,5,5,1,5,4,1,3,5,3,5,5,3,2,3,2,1,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1295843,1,80,1.715672903485509,3.1333333333333333,4.533333333333333,3.933333333333333,2.1666666666666665,4.2,0,0.2788188598844142,1.9825859408362876,2.244123123146425,-2.202153257776636,1.0035095989711815
16,121021,1,3,3,5,3,4,3,3,4,3,2,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4,3,3,2,3,4,4,3,3,4,3,3,3,5,1,4,4,2,4,4,4,3,3,3,3,4,3,4,3,4,4,3,4,4,2,2,4,4,4,3,3,4,2,3,4,4,3,3,3,3,3,4,4,2,3,3,4,4,4,3,3,5,5,4,5,5,5,5,4,4,4,4,4,4,5,5,424283,1,71,1.0863256001041424,3.3333333333333335,3.466666666666667,3.3333333333333335,3.5,3.2,0,0.7062389802566766,0.3341851883883112,1.0931849772680198,-0.21901584750532185,-0.38803701192821904
17,123262,3,3,2,2,2,3,2,2,2,2,2,3,3,2,3,4,2,4,2,2,2,2,2,5,3,2,3,3,2,2,3,2,3,3,3,3,2,3,5,1,3,2,3,2,2,1,2,2,1,1,3,2,3,3,2,2,1,2,2,3,4,2,1,2,2,2,2,2,2,2,4,1,2,2,2,2,4,2,2,4,2,1,2,1,1,1,5,5,5,2,3,5,5,3,3,4,5,5,5,5,5,236208,0,66,0.7366882093367165,2.1333333333333333,2.1333333333333333,2.066666666666667,2.6666666666666665,2.6,1,-1.858281741976896,-1.7263157521716601,-1.3365733306975036,-1.4584767289248934,-1.2229649784678596
20,123790,1,4,3,4,3,4,4,5,5,3,3,4,4,4,3,4,4,2,5,3,4,5,3,5,4,4,3,4,5,4,4,3,4,5,4,4,4,4,5,1,4,4,3,4,4,5,5,3,4,5,4,4,3,4,4,4,4,4,3,3,4,3,1,3,4,4,3,4,3,4,5,2,4,4,3,4,4,4,3,4,5,3,5,5,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,444304,1,79,1.6457454253320238,3.8666666666666667,4.0,3.4,3.8333333333333335,4.1,0,1.8460259679160418,1.1583855646122994,1.221066993476731,0.2767685050625069,0.8643549378812406
25,123985,1,4,5,3,5,4,3,5,5,5,5,5,1,5,4,5,5,5,2,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,1,5,5,3,5,2,5,5,5,5,3,5,5,5,5,5,3,5,3,4,2,2,1,1,2,2,3,3,2,4,5,5,5,5,1,5,5,3,5,4,5,5,4,5,2,1,5,5,5,5,3,3,3,3,5,5,5,4,4,4,5,5,618816,1,69,0.946470643797172,4.0,4.533333333333333,2.8,4.666666666666667,4.9,0,2.1309727148308832,1.9825859408362876,0.07012884759832506,1.5162293864820784,1.9775922266007622
26,124081,1,3,5,3,5,3,4,4,5,3,1,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,5,4,5,5,4,5,1,5,4,5,5,4,5,5,5,5,2,4,5,5,4,5,4,4,4,5,2,5,4,1,3,2,2,4,3,3,4,4,3,4,3,3,5,2,4,4,3,4,5,4,2,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,784854,1,79,1.6457454253320238,3.533333333333333,4.533333333333333,3.3333333333333335,5.0,4.2,0,1.133659100628938,1.9825859408362876,1.0931849772680198,2.012013739049906,1.0035095989711815
30,124321,1,4,5,3,4,4,2,3,4,2,2,2,3,2,3,2,2,5,5,4,3,4,4,3,4,5,5,5,4,3,5,1,2,5,4,3,3,3,5,1,4,2,2,4,2,2,4,4,4,1,2,2,2,4,5,2,1,4,3,2,4,1,1,1,2,2,4,2,3,1,4,2,3,1,3,4,3,4,2,2,3,2,4,4,4,5,2,4,3,5,4,5,4,4,4,5,4,5,3,3,4,1569497,1,64,0.5968332530297462,3.0,2.933333333333333,2.2,4.083333333333333,3.3,0,-0.006127887030427133,-0.49001518783567777,-1.08080929828008,0.6486067694883776,-0.2488823508382795
33,124750,1,2,4,2,4,2,3,2,4,3,1,2,2,4,3,4,4,5,4,4,4,3,4,4,4,4,4,1,4,2,4,4,4,4,4,4,4,4,5,1,3,3,3,4,3,3,4,3,3,1,4,3,4,3,4,2,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,4,3,1,3,4,2,2,4,3,4,4,4,4,3,2,4,5,3,2,3,3,3,2,2,2,3,3,4,4,4,503735,1,49,-0.4520789192725315,3.2,3.2,2.7333333333333334,3.75,3.8,0,0.4212922333418353,-0.07791499972368293,-0.05775316861038625,0.15282241692054951,0.44689095461142075
34,124759,1,3,4,4,4,3,3,3,4,4,3,3,4,4,4,2,4,2,3,4,4,5,4,3,4,4,3,3,4,4,4,5,4,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,3,4,2,4,4,2,3,4,1,2,1,3,2,3,1,4,2,3,2,2,3,3,2,4,149877,0,38,-1.2212811789608684,3.3333333333333335,3.933333333333333,3.8,3.5833333333333335,4.0,1,0.7062389802566766,1.0553605175843006,1.9883590907290016,-0.09506975936336451,0.7252002767913012
36,124819,1,3,5,3,5,4,3,2,5,1,2,4,2,4,5,5,4,4,4,5,5,5,5,5,4,5,5,5,4,4,5,4,4,4,4,5,3,4,5,1,4,4,5,4,3,4,5,4,3,2,3,4,5,4,3,3,2,4,2,3,3,1,3,2,3,3,3,2,2,2,3,2,2,1,3,4,2,2,2,2,3,2,2,1,2,4,4,5,4,4,3,4,4,4,4,4,3,5,5,4,4,608362,1,65,0.6667607311832313,2.2,3.8,2.533333333333333,4.666666666666667,4.1,0,-1.715808368519475,0.8493104235283035,-0.44139921723652187,1.5162293864820784,0.8643549378812406
38,124927,1,2,2,1,2,4,2,2,5,2,2,2,3,2,2,2,4,4,1,4,2,3,2,3,2,2,2,3,2,2,3,2,2,4,2,2,2,2,5,1,2,2,1,5,2,1,2,2,2,1,3,2,2,4,3,2,3,4,3,2,4,2,2,4,2,2,4,1,1,2,5,2,1,1,2,2,5,2,1,5,3,2,1,2,2,5,3,2,2,5,5,5,5,5,5,5,3,4,4,4,3,1497308,1,65,0.6667607311832313,2.4,2.2666666666666666,2.533333333333333,2.6666666666666665,2.3,0,-1.2883882481472135,-1.520265658115663,-0.44139921723652187,-1.4584767289248934,-1.64042896173768
42,125722,1,4,4,3,4,4,4,2,4,2,1,4,1,2,4,5,2,2,2,5,4,4,4,5,4,3,3,4,4,4,4,4,5,4,5,4,4,3,5,1,2,3,4,4,2,3,4,3,4,3,3,4,3,2,3,2,2,3,3,3,4,3,2,3,2,4,4,2,3,3,2,3,3,3,4,3,3,2,4,4,3,4,4,2,2,5,3,4,5,5,5,5,5,5,4,4,4,5,4,5,4,420632,1,72,1.1562530782576277,3.066666666666667,3.1333333333333333,2.8666666666666667,3.5,4.1,0,0.13634548642699398,-0.18094004675168182,0.19801086380703722,-0.21901584750532185,0.8643549378812406
43,125989,1,2,2,2,1,2,2,2,2,3,3,3,2,3,2,3,3,4,5,2,3,4,3,3,4,3,3,1,3,2,3,3,5,3,4,3,4,3,5,1,3,2,3,4,4,2,4,3,2,1,3,2,3,2,3,2,2,2,1,2,4,1,1,1,2,2,3,2,3,2,1,3,2,2,2,3,2,2,3,2,3,3,2,2,3,2,4,3,2,2,2,1,4,2,3,3,5,4,4,2,3,291942,1,46,-0.661861353732987,2.3333333333333335,2.7333333333333334,2.0,3.1666666666666665,3.3,0,-1.4308616216046337,-0.799090328919673,-1.4644553469062158,-0.7148002000731506,-0.2488823508382795
44,127003,1,4,4,3,4,4,4,4,5,3,4,5,2,5,4,5,5,2,5,5,5,5,5,5,4,5,5,3,5,2,4,5,4,5,5,5,4,4,5,1,5,4,3,4,3,4,2,4,2,3,4,4,4,4,4,3,4,2,5,3,4,2,4,3,2,2,3,1,4,2,2,3,4,2,4,3,3,3,3,4,3,4,3,2,2,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,559907,1,73,1.2261805564111128,3.0,3.6,2.933333333333333,4.5,4.3,0,-0.006127887030427133,0.5402352824443083,0.32589288001574857,1.2683372101981636,1.142664260061121
50,127786,1,3,3,4,4,4,3,4,5,3,2,4,3,2,2,5,4,4,3,4,3,3,4,4,2,5,2,4,4,4,4,2,5,5,4,3,4,3,5,1,4,5,2,4,4,4,5,5,5,1,4,4,2,3,4,4,2,4,4,3,3,2,1,2,4,3,4,4,3,2,3,3,4,2,3,3,2,3,3,2,3,1,3,2,2,5,4,4,3,3,4,4,3,4,3,4,2,4,3,3,4,607495,1,57,0.10734090595534991,2.6,3.7333333333333334,3.0,3.5,3.8,0,-0.860968127774951,0.7462853765003054,0.4537748962244607,-0.21901584750532185,0.44689095461142075
