trial,attend,reliability,validity,test_item,stim_side,reliability_time,cue_time,delay_1_time,delay_2_time,ping_time,delay_3_time,probe_time,noise_mask_time,iti_dur,pilot_info,ping_im_flash1,ping_im_flash2,ping_im_flash3,ping_im_flash4,ping_im_flash5,img1,img2,ping_img,left_img,right_img,right_cue_length,left_cue_length,right_cue_offset,left_cue_offset,attend_direction,rec_length,root,concept_root_x,concept_im1_x,concept_im2_x,distractor_0,distractor_0_type,distractor_1,distractor_1_type,distractor_2,distractor_2_type,distractor_3,distractor_3_type,mem_x,mem_y,dismem_x,dismem_y,dis0_x,dis0_y,dis1_x,dis1_y,dis2_x,dis2_y,dis3_x,dis3_y,mem_stim,distractor_stim,probe_direction,cue_img,IT_diff,V2_diff,Image1,Image2,IT_root_im1,IT_root_im2,IT_im1_im2,V2_root_im1,V2_root_im2,V2_im1_im2,cat_root,cat_im1,cat_im2,concept_root_y,concept_im1_y,concept_im2_y,V2_im2_minus_im1,IT_im2_minus_im1,IT_most_similar,V2_most_similar,cond_file
90,img1,0.8333333333333334,valid,img1,1,1.0,1.0,0.5,0.25,1,0.75,3,0,1.0,flashing_distractor,0.2,0.2,0.2,0.2,0.2,./stimuli/2_2.jpg,./stimuli/2_3.jpg,./stimuli/2_1.jpg,./stimuli/2_2.jpg,./stimuli/2_3.jpg,0.01375,0.15125,0.006875,-0.075625,left,0.33,2_1.jpg,animal,Unclassified,Unclassified,./stimuli/distractors/calzone_09s.jpg,im1_distractor,./stimuli/distractors/calzone_10s.jpg,im1_distractor,./stimuli/distractors/lip_balm_04s.jpg,im2_distractor,./stimuli/distractors/lip_balm_09s.jpg,im2_distractor,-0.37,0.25,-0.37,-0.25,0.0,0.35,0.37,0.25,0.37,-0.25,-0.0,-0.35,./stimuli/2_2.jpg,./stimuli/2_3.jpg,left,./stimuli/cue_left.png,0.123256819,0.042607275,2_2.jpg,2_3.jpg,-0.353059879,-0.229803061,0.410662033,0.052226648,0.009619373,0.091675464,alpaca,calzone,lip_balm,animal,Unclassified,Unclassified,-0.042607275,0.123256818,im2,im1,conditions_file_8
205,img1,0.8333333333333334,valid,img1,-1,1.0,1.0,0.5,0.25,1,0.75,3,0,1.0,flashing_distractor,0.2,0.2,0.2,0.2,0.2,./stimuli/77_2.jpg,./stimuli/77_3.jpg,./stimuli/77_1.jpg,./stimuli/77_3.jpg,./stimuli/77_2.jpg,0.15125,0.01375,0.075625,-0.006875,right,0.33,77_1.jpg,dessert,Unclassified,Unclassified,./stimuli/distractors/telephone_pole_08s.jpg,im1_distractor,./stimuli/distractors/telephone_pole_04s.jpg,im1_distractor,./stimuli/distractors/cheesecake_05s.jpg,im2_distractor,./stimuli/distractors/cheesecake_15s.jpg,im2_distractor,-0.37,-0.25,0.37,0.25,-0.37,0.25,0.37,-0.25,0.0,0.35,-0.0,-0.35,./stimuli/77_2.jpg,./stimuli/77_3.jpg,right,./stimuli/cue_right.png,0.98005489,0.124056179,77_2.jpg,77_3.jpg,-0.223331005,0.756723885,-0.282995142,0.021521773,0.145577951,0.001897114,sorbet,telephone_pole,cheesecake,dessert,Unclassified,Unclassified,0.124056178,0.98005489,im2,im2,conditions_file_8
277,img1,0.8333333333333334,valid,img1,-1,1.0,1.0,0.5,0.25,1,0.75,3,0,1.0,flashing_distractor,0.2,0.2,0.2,0.2,0.2,./stimuli/35_2.jpg,./stimuli/35_3.jpg,./stimuli/35_1.jpg,./stimuli/35_3.jpg,./stimuli/35_2.jpg,0.15125,0.01375,0.075625,-0.006875,right,0.33,35_1.jpg,Unclassified,Unclassified,Unclassified,./stimuli/distractors/footprint_12s.jpg,im1_distractor,./stimuli/distractors/footprint_15s.jpg,im1_distractor,./stimuli/distractors/quill_07s.jpg,im2_distractor,./stimuli/distractors/quill_12s.jpg,im2_distractor,-0.37,-0.25,0.37,-0.25,-0.37,0.25,0.37,0.25,0.0,0.35,-0.0,-0.35,./stimuli/35_2.jpg,./stimuli/35_3.jpg,right,./stimuli/cue_right.png,0.48599038,0.090439337,35_2.jpg,35_3.jpg,0.113937891,0.599928271,0.200518198,0.210657842,0.120218504,0.173556624,nutcracker,footprint,quill,Unclassified,Unclassified,Unclassified,-0.090439338,0.48599038,im2,im1,conditions_file_8
190,img1,0.6666666666666666,invalid,img2,-1,1.0,1.0,0.5,0.25,1,0.75,3,0,1.0,flashing_distractor,0.2,0.2,0.2,0.2,0.2,./stimuli/61_2.jpg,./stimuli/61_3.jpg,./stimuli/61_1.jpg,./stimuli/61_3.jpg,./stimuli/61_2.jpg,0.09625000000000002,0.06875,0.04812500000000001,-0.034375,right,0.33,61_1.jpg,vehicle,animal,Unclassified,./stimuli/distractors/snake_06s.jpg,im1_distractor,./stimuli/distractors/snake_01b.jpg,im1_distractor,./stimuli/distractors/easel_12s.jpg,im2_distractor,./stimuli/distractors/easel_02s.jpg,im2_distractor,0.0,0.35,0.37,0.25,-0.37,0.25,-0.37,-0.25,-0.0,-0.35,0.37,-0.25,./stimuli/61_3.jpg,./stimuli/61_2.jpg,left,./stimuli/cue_left.png,0.853452618,0.025946167,61_2.jpg,61_3.jpg,-0.146820214,0.706632404,-0.179396498,0.095773766,0.069827599,0.037910213,sled,snake,easel,vehicle,animal,Unclassified,-0.025946167,0.853452618,im2,im1,conditions_file_8
71,img2,0.8333333333333334,valid,img2,1,1.0,1.0,0.5,0.25,1,0.75,3,0,1.0,flashing_distractor,0.2,0.2,0.2,0.2,0.2,./stimuli/79_2.jpg,./stimuli/79_3.jpg,./stimuli/79_1.jpg,./stimuli/79_2.jpg,./stimuli/79_3.jpg,0.15125,0.01375,0.075625,-0.006875,right,0.33,79_1.jpg,fruit,Unclassified,plant,./stimuli/distractors/trap_13s.jpg,im1_distractor,./stimuli/distractors/trap_08s.jpg,im1_distractor,./stimuli/distractors/arugula_08s.jpg,im2_distractor,./stimuli/distractors/arugula_13s.jpg,im2_distractor,0.37,0.25,-0.0,-0.35,-0.37,0.25,0.0,0.35,-0.37,-0.25,0.37,-0.25,./stimuli/79_3.jpg,./stimuli/79_2.jpg,right,./stimuli/cue_right.png,0.972632195,0.152734336,79_2.jpg,79_3.jpg,-0.250162976,0.722469219,-0.233668562,0.1661734,0.013439065,0.063817995,mulberry,trap,arugula,fruit,Unclassified,plant,-0.152734335,0.972632195,im2,im1,conditions_file_8
53,img1,0.8333333333333334,valid,img1,-1,1.0,1.0,0.5,0.25,1,0.75,3,0,1.0,flashing_distractor,0.2,0.2,0.2,0.2,0.2,./stimuli/273_2.jpg,./stimuli/273_3.jpg,./stimuli/273_1.jpg,./stimuli/273_3.jpg,./stimuli/273_2.jpg,0.15125,0.01375,0.075625,-0.006875,right,0.33,273_1.jpg,plant,Unclassified,plant,./stimuli/distractors/quad_05s.jpg,im1_distractor,./stimuli/distractors/quad_06s.jpg,im1_distractor,./stimuli/distractors/flower_10s.jpg,im2_distractor,./stimuli/distractors/flower_02s.jpg,im2_distractor,0.37,-0.25,-0.0,-0.35,0.0,0.35,-0.37,-0.25,0.37,0.25,-0.37,0.25,./stimuli/273_2.jpg,./stimuli/273_3.jpg,right,./stimuli/cue_right.png,0.964767271,0.059087914,273_2.jpg,273_3.jpg,-0.225931199,0.738836072,-0.200418205,0.067097208,0.008009294,-0.001230619,daisy,quad,flower,plant,Unclassified,plant,-0.059087914,0.964767271,im2,im1,conditions_file_8
156,img1,0.8333333333333334,valid,img1,-1,1.0,1.0,0.5,0.25,1,0.75,3,0,1.0,flashing_distractor,0.2,0.2,0.2,0.2,0.2,./stimuli/153_2.jpg,./stimuli/153_3.jpg,./stimuli/153_1.jpg,./stimuli/153_3.jpg,./stimuli/153_2.jpg,0.15125,0.01375,0.075625,-0.006875,right,0.33,153_1.jpg,tool,animal,Unclassified,./stimuli/distractors/duckling_08s.jpg,im1_distractor,./stimuli/distractors/duckling_14s.jpg,im1_distractor,./stimuli/distractors/ink_05s.jpg,im2_distractor,./stimuli/distractors/ink_01b.jpg,im2_distractor,-0.37,-0.25,-0.0,-0.35,0.37,-0.25,0.0,0.35,0.37,0.25,-0.37,0.25,./stimuli/153_2.jpg,./stimuli/153_3.jpg,right,./stimuli/cue_right.png,0.725936597,0.06776568,153_2.jpg,153_3.jpg,-0.027331404,0.698605193,0.001372948,0.035875491,0.103641171,0.007141465,corkscrew,duckling,ink,tool,animal,Unclassified,0.06776568,0.725936597,im2,im2,conditions_file_8
181,img1,0.6666666666666666,valid,img1,1,1.0,1.0,0.5,0.25,1,0.75,3,0,1.0,flashing_distractor,0.2,0.2,0.2,0.2,0.2,./stimuli/95_2.jpg,./stimuli/95_3.jpg,./stimuli/95_1.jpg,./stimuli/95_2.jpg,./stimuli/95_3.jpg,0.06875,0.09625000000000002,0.034375,-0.04812500000000001,left,0.33,95_1.jpg,container,Unclassified,container,./stimuli/distractors/satellite_12s.jpg,im1_distractor,./stimuli/distractors/satellite_09s.jpg,im1_distractor,./stimuli/distractors/teacup_12s.jpg,im2_distractor,./stimuli/distractors/teacup_04s.jpg,im2_distractor,-0.37,0.25,0.0,0.35,0.37,-0.25,0.37,0.25,-0.37,-0.25,-0.0,-0.35,./stimuli/95_2.jpg,./stimuli/95_3.jpg,left,./stimuli/cue_left.png,1.226168015,0.09333169,95_2.jpg,95_3.jpg,-0.299847713,0.926320302,-0.305077855,0.043777485,0.137109175,0.041041355,teacup,satellite,teacup,container,Unclassified,container,0.09333169,1.226168015,im2,im2,conditions_file_8
145,img1,0.8333333333333334,valid,img1,-1,1.0,1.0,0.5,0.25,1,0.75,3,0,1.0,flashing_distractor,0.2,0.2,0.2,0.2,0.2,./stimuli/58_2.jpg,./stimuli/58_3.jpg,./stimuli/58_1.jpg,./stimuli/58_3.jpg,./stimuli/58_2.jpg,0.15125,0.01375,0.075625,-0.006875,right,0.33,58_1.jpg,Unclassified,vehicle,Unclassified,./stimuli/distractors/helicopter_24s.jpg,im1_distractor,./stimuli/distractors/helicopter_15s.jpg,im1_distractor,./stimuli/distractors/light_switch_08s.jpg,im2_distractor,./stimuli/distractors/light_switch_06s.jpg,im2_distractor,-0.0,-0.35,0.37,0.25,0.37,-0.25,-0.37,0.25,-0.37,-0.25,0.0,0.35,./stimuli/58_2.jpg,./stimuli/58_3.jpg,right,./stimuli/cue_right.png,0.727582913,0.136569454,58_2.jpg,58_3.jpg,-0.120835597,0.606747315,-0.117824253,0.029943567,0.166513021,0.095030013,bathmat,helicopter,light_switch,Unclassified,vehicle,Unclassified,0.136569454,0.727582912,im2,im2,conditions_file_8
66,img2,0.8333333333333334,valid,img2,1,1.0,1.0,0.5,0.25,1,0.75,3,0,1.0,flashing_distractor,0.2,0.2,0.2,0.2,0.2,./stimuli/170_2.jpg,./stimuli/170_3.jpg,./stimuli/170_1.jpg,./stimuli/170_2.jpg,./stimuli/170_3.jpg,0.15125,0.01375,0.075625,-0.006875,right,0.33,170_1.jpg,Unclassified,animal,vehicle,./stimuli/distractors/seahorse_11s.jpg,im1_distractor,./stimuli/distractors/seahorse_04s.jpg,im1_distractor,./stimuli/distractors/bobsled_17n.jpg,im2_distractor,./stimuli/distractors/bobsled_05s.jpg,im2_distractor,-0.0,-0.35,0.0,0.35,-0.37,-0.25,0.37,0.25,0.37,-0.25,-0.37,0.25,./stimuli/170_3.jpg,./stimuli/170_2.jpg,right,./stimuli/cue_right.png,0.971841673,0.010331104,170_2.jpg,170_3.jpg,-0.370080915,0.601760758,-0.336602157,0.10456972,0.094238616,0.051127605,guardrail,seahorse,bobsled,Unclassified,animal,vehicle,-0.010331104,0.971841673,im2,im1,conditions_file_8
